,y
2328,no
2329,no
2330,no
2331,no
2332,yes
2333,no
2334,no
2335,no
2336,no
2337,no
2338,no
2339,no
2340,no
2341,no
2342,no
2343,no
2344,no
2345,no
2346,no
2347,no
2348,no
2349,no
2350,no
2351,no
2352,no
2353,no
2354,no
2355,no
2356,no
2357,no
2358,no
2359,no
2360,no
2361,no
2362,no
2363,no
2364,no
2365,no
2366,no
2367,no
2368,no
2369,no
2370,yes
2371,no
2372,yes
2373,no
2374,no
2375,yes
2376,yes
2377,no
2378,no
2379,no
2380,no
2381,no
2382,no
2383,no
2384,no
2385,no
2386,no
2387,no
2388,no
2389,no
2390,no
2391,no
2392,no
2393,no
2394,no
2395,no
2396,no
2397,no
2398,no
2399,no
2400,no
2401,no
2402,no
2403,no
2404,no
2405,no
2406,no
2407,no
2408,no
2409,no
2410,no
2411,no
2412,no
2413,no
2414,no
2415,no
2416,no
2417,no
2418,no
2419,yes
2420,no
2421,yes
2422,no
2423,no
2424,no
2425,no
2426,no
2427,no
2428,no
2429,no
2430,no
2431,yes
2432,no
2433,yes
2434,no
2435,no
2436,yes
2437,no
2438,no
2439,no
2440,no
2441,no
2442,no
2443,no
2444,yes
2445,no
2446,no
2447,no
2448,no
2449,yes
2450,no
2451,no
2452,no
2453,no
2454,no
2455,no
2456,no
2457,no
2458,no
2459,no
2460,no
2461,no
2462,no
2463,no
2464,yes
2465,no
2466,no
2467,no
2468,no
2469,no
2470,no
2471,yes
2472,no
2473,no
2474,no
2475,no
2476,no
2477,yes
2478,no
2479,no
2480,yes
2481,no
2482,no
2483,no
2484,no
2485,no
2486,yes
2487,no
2488,no
2489,no
2490,no
2491,no
2492,no
2493,no
2494,no
2495,no
2496,no
2497,no
2498,no
2499,yes
2500,no
2501,no
2502,no
2503,no
2504,no
2505,no
2506,no
2507,no
2508,no
2509,no
2510,no
2511,no
2512,yes
2513,no
2514,no
2515,no
2516,no
2517,no
2518,no
2519,no
2520,no
2521,no
2522,no
2523,no
2524,no
2525,no
2526,no
2527,no
2528,no
2529,no
2530,no
2531,no
2532,no
2533,no
2534,no
2535,no
2536,no
2537,no
2538,no
2539,yes
2540,yes
2541,no
2542,no
2543,no
2544,no
2545,no
2546,no
2547,no
2548,no
2549,no
2550,no
2551,no
2552,no
2553,yes
2554,no
2555,no
2556,yes
2557,no
2558,no
2559,no
2560,no
2561,no
2562,no
2563,no
2564,no
2565,no
2566,no
2567,no
2568,yes
2569,no
2570,no
2571,no
2572,no
2573,no
2574,no
2575,no
2576,no
2577,no
2578,no
2579,no
2580,no
2581,no
2582,no
2583,yes
2584,no
2585,no
2586,no
2587,no
2588,no
2589,no
2590,no
2591,no
2592,no
2593,no
2594,no
2595,no
2596,no
2597,no
2598,no
2599,no
2600,no
2601,no
2602,no
2603,no
2604,no
2605,no
2606,no
2607,no
2608,no
2609,no
2610,no
2611,no
2612,no
2613,no
2614,no
2615,no
2616,no
2617,no
2618,no
2619,yes
2620,no
2621,no
2622,no
2623,no
2624,no
2625,no
2626,no
2627,no
2628,no
2629,no
2630,no
2631,no
2632,no
2633,yes
2634,no
2635,no
2636,no
2637,no
2638,no
2639,no
2640,no
2641,no
2642,no
2643,no
2644,yes
2645,no
2646,no
2647,no
2648,no
2649,no
2650,no
2651,no
2652,no
2653,yes
2654,yes
2655,yes
2656,no
2657,no
2658,no
2659,no
2660,no
2661,no
2662,no
2663,no
2664,no
2665,yes
2666,no
2667,no
2668,no
2669,no
2670,no
2671,no
2672,no
2673,no
2674,yes
2675,yes
2676,no
2677,no
2678,no
2679,no
2680,no
2681,no
2682,no
2683,no
2684,no
2685,yes
2686,no
2687,no
2688,no
2689,no
2690,no
2691,no
2692,no
2693,no
2694,no
2695,no
2696,yes
2697,yes
2698,no
2699,no
2700,no
2701,no
2702,no
2703,no
2704,no
2705,yes
2706,no
2707,no
2708,no
2709,no
2710,no
2711,no
2712,no
2713,no
2714,no
2715,no
2716,no
2717,yes
2718,no
2719,yes
2720,no
2721,no
2722,yes
2723,no
2724,no
2725,no
2726,no
2727,no
2728,no
2729,no
2730,no
2731,no
2732,no
2733,no
2734,no
2735,no
2736,no
2737,no
2738,no
2739,no
2740,no
2741,no
2742,no
2743,no
2744,no
2745,no
2746,yes
2747,no
2748,yes
2749,no
2750,no
2751,no
2752,no
2753,no
2754,no
2755,no
2756,no
2757,no
2758,no
2759,no
2760,yes
2761,no
2762,no
2763,no
2764,no
2765,no
2766,no
2767,no
2768,no
2769,no
2770,no
2771,no
2772,no
2773,yes
2774,no
2775,no
2776,no
2777,no
2778,no
2779,no
2780,yes
2781,no
2782,no
2783,no
2784,no
2785,no
2786,no
2787,no
2788,no
2789,no
2790,no
2791,no
2792,no
2793,no
2794,no
2795,no
2796,no
2797,no
2798,no
2799,no
2800,no
2801,no
2802,no
2803,no
2804,no
2805,no
2806,no
2807,no
2808,no
2809,no
2810,no
2811,no
2812,no
2813,no
2814,no
2815,no
2816,no
2817,no
2818,no
2819,no
2820,no
2821,yes
2822,yes
2823,yes
2824,no
2825,no
2826,yes
2827,yes
2828,no
2829,no
2830,no
2831,no
2832,no
2833,no
2834,no
2835,no
2836,no
2837,yes
2838,no
2839,no
2840,no
2841,no
2842,no
2843,no
2844,no
2845,yes
2846,no
2847,yes
2848,no
2849,no
2850,no
2851,yes
2852,no
2853,no
2854,no
2855,no
2856,no
2857,no
2858,no
2859,no
2860,no
2861,no
2862,no
2863,no
2864,no
2865,yes
2866,no
2867,no
2868,no
2869,no
2870,no
2871,yes
2872,no
2873,no
2874,no
2875,no
2876,no
2877,no
2878,no
2879,no
2880,no
2881,no
2882,no
2883,no
2884,no
2885,no
2886,no
2887,yes
2888,no
2889,no
2890,no
2891,yes
2892,no
2893,no
2894,no
2895,no
2896,no
2897,no
2898,no
2899,no
2900,no
2901,no
2902,no
2903,no
2904,no
2905,no
2906,no
2907,no
2908,no
2909,no
2910,no
2911,yes
2912,no
2913,no
2914,no
2915,yes
2916,no
2917,yes
2918,no
2919,no
2920,no
2921,no
2922,no
2923,no
2924,yes
2925,no
2926,no
2927,no
2928,no
2929,no
2930,no
2931,no
2932,no
2933,no
2934,no
2935,no
2936,no
2937,no
2938,no
2939,no
2940,yes
2941,no
2942,no
2943,no
2944,yes
2945,no
2946,no
2947,no
2948,yes
2949,no
2950,no
2951,no
2952,no
2953,yes
2954,no
2955,no
2956,no
2957,no
2958,no
2959,no
2960,no
2961,no
2962,yes
2963,yes
2964,no
2965,no
2966,no
2967,no
2968,no
2969,no
2970,no
2971,no
2972,yes
2973,yes
2974,no
2975,no
2976,no
2977,no
2978,no
2979,no
2980,yes
2981,no
2982,no
2983,no
2984,no
2985,yes
2986,no
2987,no
2988,yes
2989,no
2990,no
2991,no
2992,no
2993,no
2994,no
2995,no
2996,no
2997,no
2998,no
2999,no
3000,no
3001,no
3002,no
3003,no
3004,no
3005,yes
3006,yes
3007,no
3008,no
3009,no
3010,no
3011,no
3012,no
3013,yes
3014,no
3015,no
3016,no
3017,no
3018,no
3019,no
3020,no
3021,no
3022,no
3023,no
3024,no
3025,no
3026,no
3027,yes
3028,no
3029,yes
3030,no
3031,no
3032,no
3033,yes
3034,no
3035,no
3036,yes
3037,no
3038,no
3039,no
3040,yes
3041,no
3042,no
3043,no
3044,no
3045,no
3046,no
3047,no
3048,no
3049,no
3050,no
3051,no
3052,no
3053,no
3054,no
3055,no
3056,no
3057,no
3058,no
3059,no
3060,no
3061,no
3062,no
3063,no
3064,yes
3065,no
3066,no
3067,no
3068,no
3069,no
3070,no
3071,no
3072,no
3073,yes
3074,no
3075,no
3076,no
3077,no
3078,no
3079,no
3080,yes
3081,no
3082,no
3083,no
3084,no
3085,no
3086,no
3087,no
3088,yes
3089,no
3090,no
3091,no
3092,no
3093,no
3094,no
3095,no
3096,no
3097,no
3098,no
3099,no
3100,no
3101,no
3102,no
3103,no
3104,no
3105,no
3106,no
3107,no
3108,no
3109,no
3110,no
3111,no
3112,no
3113,no
3114,no
3115,no
3116,no
3117,yes
3118,no
3119,no
3120,no
3121,no
3122,no
3123,yes
3124,no
3125,no
3126,no
3127,no
3128,no
3129,no
3130,no
3131,no
3132,no
3133,no
3134,no
3135,yes
3136,no
3137,no
3138,no
3139,no
3140,no
3141,yes
3142,no
3143,no
3144,no
3145,no
3146,no
3147,no
3148,no
3149,no
3150,no
3151,no
3152,no
3153,no
3154,no
3155,no
3156,no
3157,no
3158,no
3159,no
3160,yes
3161,yes
3162,no
3163,no
3164,no
3165,no
3166,no
3167,no
3168,no
3169,no
3170,no
3171,no
3172,no
3173,no
3174,no
3175,no
3176,yes
3177,no
3178,no
3179,no
3180,no
3181,no
3182,no
3183,no
3184,yes
3185,no
3186,no
3187,yes
3188,no
3189,no
3190,no
3191,no
3192,no
3193,no
3194,no
3195,no
3196,no
3197,no
3198,no
3199,no
3200,no
3201,no
3202,yes
3203,no
3204,no
3205,no
3206,no
3207,no
3208,no
3209,no
3210,no
3211,no
3212,no
3213,no
3214,no
3215,no
3216,no
3217,no
3218,no
3219,yes
3220,no
3221,no
3222,no
3223,no
3224,yes
3225,no
3226,no
3227,no
3228,no
3229,yes
3230,no
3231,no
3232,no
3233,no
3234,no
3235,no
3236,no
3237,no
3238,no
3239,yes
3240,no
3241,no
3242,no
3243,no
3244,no
3245,no
3246,no
3247,no
3248,yes
3249,no
3250,yes
3251,no
3252,no
3253,no
3254,no
3255,no
3256,yes
3257,no
3258,no
3259,no
3260,no
3261,no
3262,no
3263,no
3264,no
3265,no
3266,no
3267,no
3268,no
3269,no
3270,no
3271,yes
3272,no
3273,no
3274,no
3275,no
3276,no
3277,no
3278,no
3279,no
3280,no
3281,no
3282,no
3283,no
3284,no
3285,no
3286,no
3287,no
3288,no
3289,no
3290,no
3291,no
3292,no
3293,no
3294,no
3295,no
3296,no
3297,yes
3298,no
3299,no
3300,no
3301,yes
3302,no
3303,no
3304,yes
3305,yes
3306,no
3307,no
3308,no
3309,no
3310,no
3311,yes
3312,no
3313,no
3314,no
3315,yes
3316,no
3317,yes
3318,no
3319,no
3320,no
3321,yes
3322,no
3323,no
3324,no
3325,no
3326,no
3327,no
3328,no
3329,no
3330,no
3331,yes
3332,no
3333,yes
3334,no
3335,no
3336,no
3337,no
3338,no
3339,no
3340,no
3341,yes
3342,no
3343,no
3344,no
3345,no
3346,no
3347,no
3348,no
3349,no
3350,no
3351,no
3352,no
3353,no
3354,no
3355,no
3356,no
3357,no
3358,no
3359,no
3360,yes
3361,no
3362,no
3363,no
3364,no
3365,no
3366,no
3367,yes
3368,no
3369,no
3370,no
3371,no
3372,no
3373,no
3374,no
3375,no
3376,no
3377,no
3378,no
3379,no
3380,no
3381,no
3382,no
3383,no
3384,no
3385,yes
3386,no
3387,no
3388,no
3389,no
3390,no
3391,no
3392,no
3393,no
3394,yes
3395,no
3396,no
3397,no
3398,no
3399,no
3400,no
3401,no
3402,no
3403,no
3404,no
3405,no
3406,no
3407,no
3408,no
3409,no
3410,no
3411,no
3412,no
3413,yes
3414,no
3415,no
3416,no
3417,no
3418,no
3419,no
3420,no
3421,no
3422,yes
3423,no
3424,yes
3425,no
3426,no
3427,no
3428,no
3429,no
3430,no
3431,yes
3432,no
3433,no
3434,no
3435,no
3436,no
3437,no
3438,no
3439,no
3440,no
3441,no
3442,no
3443,no
3444,no
3445,no
3446,no
3447,no
3448,no
3449,no
3450,no
3451,no
3452,no
3453,no
3454,no
3455,no
3456,no
3457,no
3458,yes
3459,no
3460,no
3461,no
3462,no
3463,no
3464,no
3465,no
3466,no
3467,no
3468,no
3469,no
3470,no
3471,no
3472,no
3473,no
3474,no
3475,no
3476,no
3477,no
3478,no
3479,no
3480,no
3481,no
3482,no
3483,no
3484,no
3485,no
3486,no
3487,no
3488,no
3489,no
3490,no
3491,yes
3492,no
3493,no
3494,no
3495,no
3496,no
3497,no
3498,yes
3499,no
3500,no
3501,no
3502,yes
3503,no
3504,no
3505,no
3506,no
3507,no
3508,no
3509,no
3510,yes
3511,no
3512,no
3513,no
3514,no
3515,no
3516,no
3517,no
3518,no
3519,no
3520,no
3521,no
3522,no
3523,no
3524,no
3525,no
3526,no
3527,yes
3528,no
3529,no
3530,no
3531,no
3532,no
3533,no
3534,no
3535,no
3536,no
3537,no
3538,yes
3539,no
3540,yes
3541,no
3542,no
3543,no
3544,no
3545,no
3546,no
3547,no
3548,no
3549,no
3550,no
3551,no
3552,no
3553,yes
3554,no
3555,no
3556,yes
3557,no
3558,yes
3559,no
3560,no
3561,no
3562,no
3563,no
3564,no
3565,no
3566,no
3567,no
3568,no
3569,no
3570,no
3571,no
3572,no
3573,no
3574,no
3575,no
3576,no
3577,no
3578,no
3579,no
3580,no
3581,no
3582,no
3583,no
3584,no
3585,no
3586,yes
3587,no
3588,no
3589,yes
3590,no
3591,no
3592,no
3593,no
3594,no
3595,no
3596,no
3597,no
3598,no
3599,no
3600,no
3601,no
3602,no
3603,no
3604,no
3605,no
3606,no
3607,no
3608,no
3609,no
3610,no
3611,no
3612,no
3613,no
3614,no
3615,no
3616,no
3617,no
3618,no
3619,no
3620,no
3621,no
3622,no
3623,no
3624,no
3625,no
3626,no
3627,no
3628,no
3629,no
3630,no
3631,no
3632,no
3633,no
3634,no
3635,no
3636,no
3637,no
3638,no
3639,no
3640,no
3641,no
3642,yes
3643,no
3644,no
3645,no
3646,no
3647,no
3648,no
3649,no
3650,no
3651,no
3652,yes
3653,yes
3654,no
3655,no
3656,no
3657,no
3658,yes
3659,no
3660,no
3661,no
3662,no
3663,no
3664,no
3665,no
3666,yes
3667,no
3668,no
3669,no
3670,no
3671,no
3672,no
3673,yes
3674,no
3675,no
3676,no
3677,no
3678,no
3679,no
3680,no
3681,yes
3682,no
3683,no
3684,yes
3685,no
3686,no
3687,no
3688,no
3689,no
3690,yes
3691,no
3692,no
3693,no
3694,no
3695,yes
3696,no
3697,no
3698,no
3699,no
3700,no
3701,no
3702,no
3703,no
3704,no
3705,no
3706,no
3707,no
3708,no
3709,no
3710,no
3711,no
3712,no
3713,no
3714,no
3715,no
3716,no
3717,no
3718,no
3719,no
3720,no
3721,no
3722,no
3723,yes
3724,no
3725,no
3726,no
3727,no
3728,no
3729,no
3730,yes
3731,no
3732,no
3733,yes
3734,yes
3735,no
3736,no
3737,no
3738,no
3739,no
3740,yes
3741,no
3742,no
3743,yes
3744,no
3745,no
3746,no
3747,no
3748,no
3749,no
3750,no
3751,no
3752,no
3753,no
3754,yes
3755,no
3756,no
3757,no
3758,no
3759,no
3760,no
3761,no
3762,no
3763,no
3764,no
3765,yes
3766,no
3767,no
3768,no
3769,no
3770,no
3771,yes
3772,no
3773,no
3774,no
3775,no
3776,no
3777,no
3778,yes
3779,no
3780,yes
3781,no
3782,no
3783,no
3784,no
3785,no
3786,yes
3787,no
3788,no
3789,yes
3790,no
3791,no
3792,no
3793,no
3794,no
3795,no
3796,yes
3797,no
3798,no
3799,no
3800,no
3801,no
3802,no
3803,no
3804,no
3805,no
3806,no
3807,no
3808,no
3809,no
3810,no
3811,no
3812,no
3813,no
3814,no
3815,no
3816,no
3817,yes
3818,yes
3819,yes
3820,no
3821,no
3822,no
3823,no
3824,no
3825,no
3826,no
3827,no
3828,no
3829,no
3830,no
3831,no
3832,no
3833,no
3834,no
3835,yes
3836,no
3837,no
3838,no
3839,no
3840,no
3841,no
3842,no
3843,yes
3844,yes
3845,no
3846,no
3847,no
3848,no
3849,no
3850,no
3851,no
3852,no
3853,yes
3854,no
3855,no
3856,no
3857,no
3858,no
3859,no
3860,no
3861,no
3862,no
3863,no
3864,no
3865,no
3866,no
3867,no
3868,no
3869,no
3870,no
3871,no
3872,no
3873,no
3874,yes
3875,no
3876,no
3877,no
3878,no
3879,no
3880,no
3881,yes
3882,no
3883,no
3884,no
3885,no
3886,no
3887,no
3888,no
3889,yes
3890,yes
3891,no
3892,no
3893,no
3894,no
3895,no
3896,yes
3897,no
3898,no
3899,no
3900,no
3901,no
3902,no
3903,no
3904,no
3905,no
3906,no
3907,no
3908,no
3909,yes
3910,no
3911,no
3912,no
3913,no
3914,yes
3915,no
3916,no
3917,yes
3918,no
3919,no
3920,no
3921,no
3922,no
3923,no
3924,no
3925,no
3926,no
3927,no
3928,no
3929,no
3930,yes
3931,yes
3932,yes
3933,no
3934,no
3935,no
3936,yes
3937,no
3938,no
3939,no
3940,no
3941,no
3942,yes
3943,no
3944,no
3945,no
3946,no
3947,no
3948,no
3949,no
3950,no
3951,no
3952,no
3953,no
3954,no
3955,no
3956,yes
3957,no
3958,no
3959,no
3960,no
3961,yes
3962,no
3963,no
3964,no
3965,no
3966,no
3967,no
3968,no
3969,no
3970,no
3971,no
3972,no
3973,no
3974,no
3975,no
3976,no
3977,no
3978,yes
3979,no
3980,no
3981,no
3982,no
3983,no
3984,no
3985,no
3986,no
3987,no
3988,no
3989,no
3990,no
3991,no
3992,no
3993,no
3994,no
3995,yes
3996,no
3997,no
3998,no
3999,no
4000,no
4001,no
4002,no
4003,no
4004,no
4005,no
4006,no
4007,no
4008,no
4009,yes
4010,no
4011,no
4012,no
4013,no
4014,no
4015,no
4016,no
4017,no
4018,no
4019,no
4020,no
4021,yes
4022,no
4023,no
4024,no
4025,no
4026,no
4027,no
4028,yes
4029,no
4030,no
4031,no
4032,no
4033,no
4034,no
4035,no
4036,no
4037,no
4038,no
4039,no
4040,yes
4041,no
4042,no
4043,no
4044,no
4045,no
4046,no
4047,no
4048,no
4049,no
4050,no
4051,no
4052,no
4053,no
4054,no
4055,no
4056,no
4057,no
4058,no
4059,no
4060,no
4061,yes
4062,no
4063,no
4064,no
4065,no
4066,no
4067,no
4068,no
4069,no
4070,no
4071,no
4072,no
4073,no
4074,no
4075,no
4076,no
4077,no
4078,no
4079,no
4080,no
4081,no
4082,no
4083,no
4084,no
4085,no
4086,no
4087,no
4088,no
4089,yes
4090,yes
4091,no
4092,no
4093,yes
4094,no
4095,no
4096,no
4097,no
4098,no
4099,no
4100,no
4101,no
4102,no
4103,no
4104,no
4105,no
4106,no
4107,no
4108,yes
4109,no
4110,no
4111,no
4112,no
4113,no
4114,no
4115,no
4116,no
4117,yes
4118,no
4119,no
4120,no
4121,no
4122,no
4123,yes
4124,yes
4125,yes
4126,no
4127,no
4128,no
4129,no
4130,no
4131,no
4132,no
4133,no
4134,no
4135,no
4136,no
4137,no
4138,no
4139,no
4140,no
4141,no
4142,no
4143,no
4144,no
4145,no
4146,no
4147,no
4148,yes
4149,no
4150,no
4151,no
4152,no
4153,no
4154,no
4155,no
4156,no
4157,no
4158,no
4159,yes
4160,yes
4161,no
4162,no
4163,no
4164,no
4165,no
4166,no
4167,no
4168,no
4169,no
4170,no
4171,no
4172,no
4173,no
4174,no
4175,no
4176,yes
4177,no
4178,no
4179,no
4180,no
4181,no
4182,no
4183,no
4184,no
4185,no
4186,no
4187,no
4188,no
4189,no
4190,no
4191,no
4192,no
4193,no
4194,yes
4195,no
4196,yes
4197,no
4198,yes
4199,no
4200,no
4201,no
4202,no
4203,no
4204,no
4205,no
4206,no
4207,no
4208,no
4209,no
4210,no
4211,yes
4212,no
4213,yes
4214,no
4215,yes
4216,no
4217,yes
4218,no
4219,no
4220,yes
4221,no
4222,no
4223,no
4224,yes
4225,yes
4226,no
4227,no
4228,no
4229,yes
4230,no
4231,yes
4232,yes
4233,no
4234,no
4235,no
4236,yes
4237,yes
4238,yes
4239,no
4240,no
4241,no
4242,no
4243,no
4244,no
4245,no
4246,no
4247,no
4248,no
4249,no
4250,yes
4251,no
4252,no
4253,no
4254,no
4255,no
4256,yes
4257,no
4258,no
4259,no
4260,no
4261,no
4262,yes
4263,yes
4264,no
4265,no
4266,no
4267,no
4268,no
4269,no
4270,no
4271,no
4272,no
4273,no
4274,no
4275,yes
4276,no
4277,no
4278,no
4279,no
4280,no
4281,yes
4282,yes
4283,no
4284,no
4285,no
4286,no
4287,no
4288,no
4289,no
4290,no
4291,no
4292,no
4293,no
4294,no
4295,no
4296,no
4297,no
4298,no
4299,no
4300,yes
4301,no
4302,no
4303,no
4304,no
4305,no
4306,no
4307,no
4308,no
4309,no
4310,no
4311,no
4312,no
4313,no
4314,no
4315,no
4316,no
4317,no
4318,no
4319,no
4320,no
4321,no
4322,no
4323,no
4324,no
4325,no
4326,no
4327,no
4328,yes
4329,no
4330,no
4331,no
4332,no
4333,no
4334,no
4335,no
4336,no
4337,yes
4338,no
4339,no
4340,no
4341,no
4342,yes
4343,no
4344,no
4345,no
4346,no
4347,no
4348,no
4349,no
4350,yes
4351,no
4352,no
4353,no
4354,no
4355,no
4356,no
4357,no
4358,no
4359,no
4360,no
4361,no
4362,no
4363,no
4364,yes
4365,no
4366,yes
4367,no
4368,no
4369,no
4370,no
4371,no
4372,no
4373,no
4374,no
4375,no
4376,no
4377,no
4378,no
4379,no
4380,no
4381,no
4382,no
4383,no
4384,no
4385,no
4386,no
4387,no
4388,yes
4389,no
4390,no
4391,no
4392,yes
4393,no
4394,no
4395,no
4396,no
4397,no
4398,no
4399,no
4400,no
4401,no
4402,yes
4403,no
4404,no
4405,no
4406,no
4407,yes
4408,no
4409,no
4410,no
4411,no
4412,no
4413,no
4414,no
4415,no
4416,yes
4417,no
4418,no
4419,no
4420,no
4421,no
4422,no
4423,yes
4424,no
4425,no
4426,no
4427,no
4428,no
4429,no
4430,no
4431,no
4432,no
4433,yes
4434,no
4435,no
4436,no
4437,no
4438,no
4439,no
4440,no
4441,no
4442,no
4443,no
4444,no
4445,no
4446,no
4447,yes
4448,no
4449,no
4450,no
4451,no
4452,no
4453,no
4454,no
4455,no
4456,no
4457,no
4458,yes
4459,no
4460,no
4461,no
4462,no
4463,no
4464,no
4465,yes
4466,no
4467,no
4468,no
4469,no
4470,no
4471,no
4472,no
4473,no
4474,no
4475,no
4476,no
4477,no
4478,no
4479,no
4480,no
4481,no
4482,no
4483,no
4484,yes
4485,no
4486,no
4487,no
4488,no
4489,no
4490,no
4491,no
4492,no
4493,no
4494,yes
4495,no
4496,no
4497,no
4498,no
4499,no
4500,no
4501,no
4502,no
4503,yes
4504,yes
4505,yes
4506,no
4507,no
4508,no
4509,no
4510,no
4511,yes
4512,no
4513,no
4514,no
4515,no
4516,no
4517,no
4518,no
4519,no
4520,no
